ID,Name,Category,Type,Destination,Area,Price,Rating,Description
1035,Hilltop Cafe 409,Cafe,Food,Kurseong,Mall Road,302 INR,3.4,Cafe in Kurseong with great experience
1036,Mountain Nest 320,Homestay,Stay,Darjeeling,Tea Garden,7742 INR,4.9,Homestay in Darjeeling with great experience
1037,Valley View Stay 998,Homestay,Stay,Darjeeling,Mall Road,893 INR,4.6,Homestay in Darjeeling with great experience
1038,Tea Garden Resort 102,Resort,Stay,Lava,City Center,2986 INR,5.0,Resort in Lava with great experience
1039,Himalayan Wear 325,Clothing Store,Shopping,Kurseong,Tea Garden,,4.5,Clothing Store in Kurseong with great experience
1040,Food Valley 378,Restaurant,Food,Dooars,Tea Garden,162 INR,5.0,Restaurant in Dooars with great experience
1041,Pahari Homestay 55,Homestay,Stay,Kurseong,Mall Road,7646 INR,4.5,Homestay in Kurseong with great experience
1042,Peak Residency 466,Hotel,Stay,Darjeeling,Hill View,2077 INR,3.5,Hotel in Darjeeling with great experience
1043,Mountain Nest 750,Homestay,Stay,Mirik,City Center,3274 INR,4.3,Homestay in Mirik with great experience
1044,Pahari Homestay 713,Homestay,Stay,Darjeeling,Tea Garden,4412 INR,3.2,Homestay in Darjeeling with great experience
1045,Trekking 258,Activity,Experience,Gangtok,MG Marg,,4.9,Activity in Gangtok with great experience
1046,Mountain Brew 439,Cafe,Food,Lava,Hill View,763 INR,3.7,Cafe in Lava with great experience
1047,Himalayan Wear 209,Clothing Store,Shopping,Mirik,City Center,,3.7,Clothing Store in Mirik with great experience
1048,Hill Stay Inn 681,Hotel,Stay,Darjeeling,City Center,1830 INR,4.3,Hotel in Darjeeling with great experience
1049,Mountain Style 744,Clothing Store,Shopping,Kalimpong,Forest Area,,3.2,Clothing Store in Kalimpong with great experience
1050,Pahari Homestay 256,Homestay,Stay,Gangtok,MG Marg,3140 INR,3.5,Homestay in Gangtok with great experience
1051,Mountain Brew 117,Cafe,Food,Lava,Hill View,772 INR,3.8,Cafe in Lava with great experience
1052,Himalayan Wear 477,Clothing Store,Shopping,Gangtok,Mall Road,,4.0,Clothing Store in Gangtok with great experience
1053,Food Valley 940,Restaurant,Food,Gangtok,MG Marg,636 INR,4.3,Restaurant in Gangtok with great experience
1054,Luxury Hills Resort 719,Resort,Stay,Kalimpong,Mall Road,2756 INR,4.8,Resort in Kalimpong with great experience
1055,Spice Route 531,Restaurant,Food,Kalimpong,City Center,964 INR,3.8,Restaurant in Kalimpong with great experience
1056,Food Valley 777,Restaurant,Food,Kalimpong,Hill View,175 INR,3.5,Restaurant in Kalimpong with great experience
1057,Mountain Brew 432,Cafe,Food,Darjeeling,Hill View,719 INR,3.1,Cafe in Darjeeling with great experience
1058,Toy Train Ride 164,Activity,Experience,Darjeeling,City Center,,4.8,Activity in Darjeeling with great experience
1059,Taste of Hills 166,Restaurant,Food,Kurseong,Mall Road,859 INR,4.6,Restaurant in Kurseong with great experience
1060,Food Valley 612,Restaurant,Food,Kurseong,Mall Road,545 INR,4.5,Restaurant in Kurseong with great experience
1061,Waterfall 583,Attraction,Experience,Gangtok,MG Marg,,3.0,Attraction in Gangtok with great experience
1062,Himalayan Dine 873,Restaurant,Food,Darjeeling,Tea Garden,299 INR,4.7,Restaurant in Darjeeling with great experience
1063,Safari 9,Activity,Experience,Dooars,Forest Area,,3.6,Activity in Dooars with great experience
1064,Boating 776,Activity,Experience,Mirik,Tea Garden,,3.3,Activity in Mirik with great experience
1065,Himalayan Dine 192,Restaurant,Food,Gangtok,MG Marg,803 INR,3.6,Restaurant in Gangtok with great experience
1066,Monastery 50,Attraction,Experience,Darjeeling,Mall Road,,4.2,Attraction in Darjeeling with great experience
1067,Mountain Nest 532,Homestay,Stay,Lava,City Center,7854 INR,4.1,Homestay in Lava with great experience
1068,Himalayan Dine 884,Restaurant,Food,Gangtok,MG Marg,434 INR,4.7,Restaurant in Gangtok with great experience
1069,Winter Hub 330,Clothing Store,Shopping,Mirik,Tea Garden,,4.0,Clothing Store in Mirik with great experience
1070,Tea Garden Resort 480,Resort,Stay,Darjeeling,Mall Road,1707 INR,3.4,Resort in Darjeeling with great experience
1071,Spice Route 392,Restaurant,Food,Gangtok,MG Marg,787 INR,4.3,Restaurant in Gangtok with great experience
1072,Spice Route 410,Restaurant,Food,Darjeeling,Tea Garden,608 INR,4.0,Restaurant in Darjeeling with great experience
1073,Himalayan Wear 298,Clothing Store,Shopping,Lava,Hill View,,4.0,Clothing Store in Lava with great experience
1074,Skyline Hotel 260,Hotel,Stay,Darjeeling,Mall Road,1046 INR,3.9,Hotel in Darjeeling with great experience
1075,Food Valley 286,Restaurant,Food,Kurseong,Mall Road,642 INR,3.8,Restaurant in Kurseong with great experience
1076,Waterfall 947,Attraction,Experience,Mirik,Hill View,,3.8,Attraction in Mirik with great experience
1077,Mountain Brew 115,Cafe,Food,Kurseong,Tea Garden,489 INR,4.6,Cafe in Kurseong with great experience
1078,Winter Hub 173,Clothing Store,Shopping,Darjeeling,Hill View,,4.2,Clothing Store in Darjeeling with great experience
1079,Winter Hub 402,Clothing Store,Shopping,Kurseong,Mall Road,,3.8,Clothing Store in Kurseong with great experience
1080,Skyline Hotel 909,Hotel,Stay,Kalimpong,Hill View,4694 INR,3.1,Hotel in Kalimpong with great experience
1081,Mountain Nest 896,Homestay,Stay,Gangtok,Mall Road,7858 INR,4.0,Homestay in Gangtok with great experience
1082,Safari 684,Activity,Experience,Dooars,Mall Road,,3.1,Activity in Dooars with great experience
1083,Tea Garden Resort 889,Resort,Stay,Darjeeling,Tea Garden,4202 INR,3.4,Resort in Darjeeling with great experience
1084,Himalayan Dine 395,Restaurant,Food,Darjeeling,Hill View,618 INR,4.6,Restaurant in Darjeeling with great experience
1085,Tea Garden Resort 903,Resort,Stay,Gangtok,MG Marg,3737 INR,3.1,Resort in Gangtok with great experience
1086,Mountain Style 82,Clothing Store,Shopping,Darjeeling,Tea Garden,,4.5,Clothing Store in Darjeeling with great experience
1087,Hilltop Cafe 41,Cafe,Food,Lava,Hill View,992 INR,3.9,Cafe in Lava with great experience
1088,Winter Hub 511,Clothing Store,Shopping,Kurseong,Hill View,,3.0,Clothing Store in Kurseong with great experience
1089,Tea Garden Resort 35,Resort,Stay,Darjeeling,Mall Road,5234 INR,3.9,Resort in Darjeeling with great experience
1090,View Point 22,Attraction,Experience,Darjeeling,Mall Road,,4.0,Attraction in Darjeeling with great experience
1091,Winter Hub 448,Clothing Store,Shopping,Darjeeling,City Center,,5.0,Clothing Store in Darjeeling with great experience
1092,Luxury Hills Resort 964,Resort,Stay,Kalimpong,Mall Road,4153 INR,4.6,Resort in Kalimpong with great experience
1093,Cloud9 Cafe 512,Cafe,Food,Darjeeling,City Center,393 INR,3.6,Cafe in Darjeeling with great experience
1094,Lake 478,Attraction,Experience,Dooars,Forest Area,,3.2,Attraction in Dooars with great experience
1095,Valley View Stay 783,Homestay,Stay,Gangtok,MG Marg,2446 INR,4.4,Homestay in Gangtok with great experience
1096,Cloud9 Cafe 16,Cafe,Food,Gangtok,MG Marg,601 INR,3.8,Cafe in Gangtok with great experience
1097,Safari 417,Activity,Experience,Dooars,City Center,,4.1,Activity in Dooars with great experience
1098,Hill Stay Inn 399,Hotel,Stay,Lava,Forest Area,1737 INR,4.8,Hotel in Lava with great experience
1099,Forest Resort 691,Resort,Stay,Gangtok,MG Marg,6710 INR,3.5,Resort in Gangtok with great experience
1100,Peak Residency 633,Hotel,Stay,Kurseong,Tea Garden,3659 INR,3.4,Hotel in Kurseong with great experience
1101,Peak Residency 928,Hotel,Stay,Kalimpong,Mall Road,5887 INR,3.6,Hotel in Kalimpong with great experience
1102,Luxury Hills Resort 890,Resort,Stay,Lava,Forest Area,800 INR,4.0,Resort in Lava with great experience
1103,Cafe Aroma 396,Cafe,Food,Darjeeling,Hill View,685 INR,3.4,Cafe in Darjeeling with great experience
1104,Himalayan Wear 735,Clothing Store,Shopping,Dooars,Forest Area,,3.8,Clothing Store in Dooars with great experience
1105,Sunrise Coffee 497,Cafe,Food,Kalimpong,City Center,811 INR,3.7,Cafe in Kalimpong with great experience
1106,Winter Hub 165,Clothing Store,Shopping,Mirik,Tea Garden,,4.2,Clothing Store in Mirik with great experience
1107,Cloud9 Cafe 325,Cafe,Food,Gangtok,MG Marg,645 INR,4.1,Cafe in Gangtok with great experience
1108,Lake 328,Attraction,Experience,Gangtok,Hill View,,4.1,Attraction in Gangtok with great experience
1109,Valley View Stay 872,Homestay,Stay,Gangtok,Hill View,7835 INR,3.3,Homestay in Gangtok with great experience
1110,Hotel Green View 700,Hotel,Stay,Lava,Forest Area,6931 INR,3.9,Hotel in Lava with great experience
1111,Luxury Hills Resort 352,Resort,Stay,Gangtok,MG Marg,4315 INR,4.7,Resort in Gangtok with great experience
1112,Sunrise Coffee 743,Cafe,Food,Dooars,Tea Garden,385 INR,3.4,Cafe in Dooars with great experience
1113,Winter Hub 761,Clothing Store,Shopping,Gangtok,Mall Road,,4.4,Clothing Store in Gangtok with great experience
1114,Skyline Hotel 941,Hotel,Stay,Darjeeling,Tea Garden,7763 INR,4.8,Hotel in Darjeeling with great experience
1115,Taste of Hills 811,Restaurant,Food,Gangtok,MG Marg,461 INR,5.0,Restaurant in Gangtok with great experience
1116,Valley View Stay 827,Homestay,Stay,Mirik,Hill View,1886 INR,4.4,Homestay in Mirik with great experience
1117,Safari 630,Activity,Experience,Dooars,City Center,,4.2,Activity in Dooars with great experience
1118,Peak Residency 872,Hotel,Stay,Mirik,Tea Garden,4687 INR,3.7,Hotel in Mirik with great experience
1119,Hilltop Cafe 926,Cafe,Food,Kalimpong,City Center,579 INR,4.1,Cafe in Kalimpong with great experience
1120,Hill Stay Inn 686,Hotel,Stay,Gangtok,Mall Road,5527 INR,4.3,Hotel in Gangtok with great experience
1121,Cafe Aroma 647,Cafe,Food,Darjeeling,Mall Road,199 INR,4.5,Cafe in Darjeeling with great experience
1122,Luxury Hills Resort 635,Resort,Stay,Kurseong,Mall Road,4165 INR,4.8,Resort in Kurseong with great experience
1123,Sunrise Coffee 867,Cafe,Food,Mirik,Tea Garden,335 INR,3.4,Cafe in Mirik with great experience
1124,Tea Garden Resort 726,Resort,Stay,Kurseong,Hill View,7342 INR,4.6,Resort in Kurseong with great experience
1125,Valley View Stay 42,Homestay,Stay,Dooars,Forest Area,3429 INR,3.6,Homestay in Dooars with great experience
1126,Winter Hub 229,Clothing Store,Shopping,Dooars,Forest Area,,4.4,Clothing Store in Dooars with great experience
1127,Mountain Nest 608,Homestay,Stay,Lava,Forest Area,3183 INR,3.6,Homestay in Lava with great experience
1128,Valley View Stay 382,Homestay,Stay,Lava,Forest Area,6166 INR,3.9,Homestay in Lava with great experience
1129,Boating 744,Activity,Experience,Mirik,Forest Area,,4.8,Activity in Mirik with great experience
1130,Himalayan Wear 952,Clothing Store,Shopping,Lava,Forest Area,,3.1,Clothing Store in Lava with great experience
1131,Mountain Style 650,Clothing Store,Shopping,Lava,Forest Area,,4.5,Clothing Store in Lava with great experience
1132,Winter Hub 191,Clothing Store,Shopping,Gangtok,MG Marg,,4.0,Clothing Store in Gangtok with great experience
1133,Hill Stay Inn 766,Hotel,Stay,Mirik,Hill View,957 INR,4.6,Hotel in Mirik with great experience
1134,Winter Hub 528,Clothing Store,Shopping,Gangtok,MG Marg,,3.1,Clothing Store in Gangtok with great experience
1135,Hilltop Cafe 607,Cafe,Food,Darjeeling,Forest Area,660 INR,4.1,Cafe in Darjeeling with great experience
1136,Waterfall 573,Attraction,Experience,Kalimpong,City Center,,3.9,Attraction in Kalimpong with great experience
1137,Mountain Style 88,Clothing Store,Shopping,Darjeeling,Mall Road,,3.5,Clothing Store in Darjeeling with great experience
1138,Safari 577,Activity,Experience,Dooars,City Center,,3.1,Activity in Dooars with great experience
1139,Food Valley 52,Restaurant,Food,Darjeeling,Mall Road,167 INR,4.9,Restaurant in Darjeeling with great experience
1140,Sunrise Coffee 836,Cafe,Food,Kurseong,Hill View,250 INR,3.1,Cafe in Kurseong with great experience
1141,Hilltop Cafe 913,Cafe,Food,Gangtok,MG Marg,289 INR,5.0,Cafe in Gangtok with great experience
1142,Taste of Hills 333,Restaurant,Food,Darjeeling,Hill View,765 INR,3.6,Restaurant in Darjeeling with great experience
1143,Lake 458,Attraction,Experience,Mirik,Hill View,,4.1,Attraction in Mirik with great experience
1144,Tea Garden Resort 112,Resort,Stay,Kalimpong,Mall Road,3365 INR,4.5,Resort in Kalimpong with great experience
1145,Skyline Hotel 102,Hotel,Stay,Dooars,Forest Area,3671 INR,4.4,Hotel in Dooars with great experience
1146,Mountain Style 363,Clothing Store,Shopping,Dooars,Tea Garden,,3.1,Clothing Store in Dooars with great experience
1147,Skyline Hotel 617,Hotel,Stay,Kurseong,City Center,1386 INR,3.4,Hotel in Kurseong with great experience
1148,Hilltop Cafe 748,Cafe,Food,Gangtok,MG Marg,178 INR,4.4,Cafe in Gangtok with great experience
1149,Mountain Nest 879,Homestay,Stay,Mirik,Tea Garden,5687 INR,4.5,Homestay in Mirik with great experience
1150,Pahari Homestay 385,Homestay,Stay,Darjeeling,Hill View,6914 INR,4.5,Homestay in Darjeeling with great experience
1151,Mountain Brew 98,Cafe,Food,Lava,Hill View,398 INR,3.2,Cafe in Lava with great experience
1152,Tea Garden Resort 290,Resort,Stay,Darjeeling,Tea Garden,7201 INR,4.0,Resort in Darjeeling with great experience
1153,Valley View Stay 918,Homestay,Stay,Gangtok,MG Marg,1752 INR,3.9,Homestay in Gangtok with great experience
1154,Mountain Nest 45,Homestay,Stay,Darjeeling,City Center,7071 INR,4.0,Homestay in Darjeeling with great experience
1155,Forest Resort 935,Resort,Stay,Dooars,Tea Garden,4899 INR,4.5,Resort in Dooars with great experience
1156,Food Valley 43,Restaurant,Food,Dooars,Forest Area,260 INR,5.0,Restaurant in Dooars with great experience
1157,Cafe Aroma 240,Cafe,Food,Dooars,Forest Area,976 INR,3.6,Cafe in Dooars with great experience
1158,Waterfall 213,Attraction,Experience,Mirik,Hill View,,5.0,Attraction in Mirik with great experience
1159,Himalayan Wear 776,Clothing Store,Shopping,Darjeeling,Tea Garden,,4.0,Clothing Store in Darjeeling with great experience
1160,View Point 262,Attraction,Experience,Dooars,Tea Garden,,3.3,Attraction in Dooars with great experience
1161,Valley View Stay 191,Homestay,Stay,Darjeeling,Hill View,2268 INR,3.9,Homestay in Darjeeling with great experience
1162,Trekking 590,Activity,Experience,Darjeeling,Tea Garden,,3.4,Activity in Darjeeling with great experience
1163,Mountain Style 906,Clothing Store,Shopping,Dooars,Tea Garden,,4.2,Clothing Store in Dooars with great experience
1164,Sunrise Coffee 407,Cafe,Food,Mirik,City Center,777 INR,4.7,Cafe in Mirik with great experience
1165,Safari 991,Activity,Experience,Dooars,Tea Garden,,4.5,Activity in Dooars with great experience
1166,Mountain Style 176,Clothing Store,Shopping,Gangtok,MG Marg,,4.9,Clothing Store in Gangtok with great experience
1167,Mountain Nest 448,Homestay,Stay,Darjeeling,Hill View,1191 INR,4.1,Homestay in Darjeeling with great experience
1168,Hotel Green View 867,Hotel,Stay,Kalimpong,Forest Area,5098 INR,3.7,Hotel in Kalimpong with great experience
1169,Himalayan Dine 938,Restaurant,Food,Kurseong,Mall Road,332 INR,5.0,Restaurant in Kurseong with great experience
1170,Peak Residency 169,Hotel,Stay,Lava,Forest Area,1861 INR,3.1,Hotel in Lava with great experience
1171,Food Valley 780,Restaurant,Food,Gangtok,MG Marg,803 INR,3.9,Restaurant in Gangtok with great experience
1172,Pahari Homestay 106,Homestay,Stay,Kurseong,Tea Garden,4240 INR,3.8,Homestay in Kurseong with great experience
1173,Luxury Hills Resort 784,Resort,Stay,Lava,Forest Area,2325 INR,3.7,Resort in Lava with great experience
1174,View Point 460,Attraction,Experience,Lava,Forest Area,,3.6,Attraction in Lava with great experience
1175,Forest Resort 613,Resort,Stay,Gangtok,MG Marg,3658 INR,3.9,Resort in Gangtok with great experience
1176,Winter Hub 646,Clothing Store,Shopping,Lava,City Center,,3.5,Clothing Store in Lava with great experience
1177,Valley View Stay 884,Homestay,Stay,Darjeeling,Hill View,7596 INR,3.8,Homestay in Darjeeling with great experience
1178,Trekking 666,Activity,Experience,Gangtok,MG Marg,,4.4,Activity in Gangtok with great experience
1179,Cafe Aroma 361,Cafe,Food,Darjeeling,Hill View,582 INR,3.9,Cafe in Darjeeling with great experience
1180,Luxury Hills Resort 332,Resort,Stay,Kurseong,Hill View,4166 INR,4.5,Resort in Kurseong with great experience
1181,Tea Garden Resort 72,Resort,Stay,Lava,City Center,2904 INR,4.3,Resort in Lava with great experience
1182,Monastery 745,Attraction,Experience,Dooars,City Center,,4.8,Attraction in Dooars with great experience
1183,Tea Garden Resort 473,Resort,Stay,Gangtok,Hill View,2263 INR,4.7,Resort in Gangtok with great experience
1184,Food Valley 187,Restaurant,Food,Darjeeling,Tea Garden,775 INR,3.3,Restaurant in Darjeeling with great experience
1185,Himalayan Wear 534,Clothing Store,Shopping,Kurseong,Tea Garden,,4.3,Clothing Store in Kurseong with great experience
1186,Monastery 435,Attraction,Experience,Darjeeling,Tea Garden,,4.3,Attraction in Darjeeling with great experience
1187,Hotel Green View 994,Hotel,Stay,Kalimpong,Mall Road,2065 INR,4.8,Hotel in Kalimpong with great experience
1188,Hotel Green View 782,Hotel,Stay,Dooars,Forest Area,2116 INR,3.1,Hotel in Dooars with great experience
1189,Himalayan Dine 441,Restaurant,Food,Darjeeling,Tea Garden,284 INR,4.1,Restaurant in Darjeeling with great experience
1190,Lake 305,Attraction,Experience,Kurseong,Forest Area,,3.9,Attraction in Kurseong with great experience
1191,Himalayan Wear 658,Clothing Store,Shopping,Darjeeling,Tea Garden,,4.6,Clothing Store in Darjeeling with great experience
1192,Cloud9 Cafe 858,Cafe,Food,Lava,City Center,200 INR,4.2,Cafe in Lava with great experience
1193,Mountain Brew 144,Cafe,Food,Mirik,Tea Garden,187 INR,3.4,Cafe in Mirik with great experience
1194,Himalayan Wear 463,Clothing Store,Shopping,Gangtok,Mall Road,,4.2,Clothing Store in Gangtok with great experience
1195,Monastery 334,Attraction,Experience,Gangtok,MG Marg,,3.7,Attraction in Gangtok with great experience
1196,Mountain Nest 945,Homestay,Stay,Gangtok,MG Marg,1455 INR,4.9,Homestay in Gangtok with great experience
1197,Peak Residency 906,Hotel,Stay,Gangtok,MG Marg,6873 INR,3.7,Hotel in Gangtok with great experience
1198,Lake 618,Attraction,Experience,Darjeeling,Mall Road,,4.1,Attraction in Darjeeling with great experience
1199,Taste of Hills 886,Restaurant,Food,Kalimpong,Hill View,751 INR,4.3,Restaurant in Kalimpong with great experience
1200,Sunrise Coffee 962,Cafe,Food,Darjeeling,Mall Road,961 INR,4.9,Cafe in Darjeeling with great experience
1201,Cloud9 Cafe 716,Cafe,Food,Dooars,City Center,528 INR,4.9,Cafe in Dooars with great experience
1202,Hotel Green View 382,Hotel,Stay,Darjeeling,Tea Garden,5118 INR,3.4,Hotel in Darjeeling with great experience
1203,Forest Resort 747,Resort,Stay,Darjeeling,Hill View,7368 INR,3.0,Resort in Darjeeling with great experience
1204,Mountain Brew 50,Cafe,Food,Gangtok,MG Marg,192 INR,4.9,Cafe in Gangtok with great experience
1205,Waterfall 128,Attraction,Experience,Mirik,Hill View,,4.2,Attraction in Mirik with great experience
1206,Cafe Aroma 473,Cafe,Food,Darjeeling,Mall Road,180 INR,3.9,Cafe in Darjeeling with great experience
1207,Mountain Brew 374,Cafe,Food,Gangtok,MG Marg,895 INR,3.1,Cafe in Gangtok with great experience
1208,Waterfall 186,Attraction,Experience,Gangtok,Mall Road,,3.7,Attraction in Gangtok with great experience
1209,Mountain Nest 112,Homestay,Stay,Kurseong,City Center,6967 INR,3.9,Homestay in Kurseong with great experience
1210,Winter Hub 131,Clothing Store,Shopping,Gangtok,Mall Road,,3.3,Clothing Store in Gangtok with great experience
1211,Hotel Green View 619,Hotel,Stay,Mirik,Tea Garden,3377 INR,3.7,Hotel in Mirik with great experience
1212,Hilltop Cafe 22,Cafe,Food,Kalimpong,City Center,701 INR,4.7,Cafe in Kalimpong with great experience
1213,Trekking 403,Activity,Experience,Darjeeling,Tea Garden,,4.7,Activity in Darjeeling with great experience
1214,Himalayan Dine 299,Restaurant,Food,Gangtok,MG Marg,626 INR,5.0,Restaurant in Gangtok with great experience
1215,Cloud9 Cafe 916,Cafe,Food,Darjeeling,Mall Road,563 INR,3.0,Cafe in Darjeeling with great experience
1216,Sunrise Coffee 237,Cafe,Food,Kurseong,Mall Road,890 INR,4.7,Cafe in Kurseong with great experience
1217,Spice Route 433,Restaurant,Food,Darjeeling,Mall Road,614 INR,5.0,Restaurant in Darjeeling with great experience
1218,Forest Resort 475,Resort,Stay,Darjeeling,Hill View,2972 INR,4.6,Resort in Darjeeling with great experience
1219,Hotel Green View 59,Hotel,Stay,Lava,Forest Area,3683 INR,3.7,Hotel in Lava with great experience
1220,Winter Hub 749,Clothing Store,Shopping,Kalimpong,Mall Road,,3.1,Clothing Store in Kalimpong with great experience
1221,Sunrise Coffee 958,Cafe,Food,Gangtok,MG Marg,638 INR,4.0,Cafe in Gangtok with great experience
1222,Safari 726,Activity,Experience,Dooars,City Center,,3.3,Activity in Dooars with great experience
1223,Safari 423,Activity,Experience,Dooars,Forest Area,,3.2,Activity in Dooars with great experience
1224,Mountain Nest 690,Homestay,Stay,Gangtok,MG Marg,3447 INR,3.9,Homestay in Gangtok with great experience
1225,Mountain Style 146,Clothing Store,Shopping,Gangtok,Hill View,,3.4,Clothing Store in Gangtok with great experience
1226,Cafe Aroma 844,Cafe,Food,Lava,Hill View,522 INR,3.3,Cafe in Lava with great experience
1227,Monastery 502,Attraction,Experience,Darjeeling,Hill View,,4.1,Attraction in Darjeeling with great experience
1228,Trekking 699,Activity,Experience,Darjeeling,Tea Garden,,3.2,Activity in Darjeeling with great experience
1229,Luxury Hills Resort 944,Resort,Stay,Mirik,City Center,7471 INR,4.1,Resort in Mirik with great experience
1230,Boating 322,Activity,Experience,Mirik,Tea Garden,,3.3,Activity in Mirik with great experience
1231,Pahari Homestay 34,Homestay,Stay,Darjeeling,Tea Garden,5873 INR,4.4,Homestay in Darjeeling with great experience
1232,Sunrise Coffee 464,Cafe,Food,Gangtok,MG Marg,215 INR,4.1,Cafe in Gangtok with great experience
1233,Safari 869,Activity,Experience,Dooars,City Center,,3.2,Activity in Dooars with great experience
1234,Forest Resort 604,Resort,Stay,Gangtok,MG Marg,7245 INR,3.1,Resort in Gangtok with great experience
1235,Luxury Hills Resort 910,Resort,Stay,Darjeeling,Mall Road,7441 INR,3.9,Resort in Darjeeling with great experience
1236,Tea Garden Resort 201,Resort,Stay,Mirik,Hill View,978 INR,4.6,Resort in Mirik with great experience
1237,Spice Route 487,Restaurant,Food,Kurseong,Mall Road,732 INR,4.0,Restaurant in Kurseong with great experience
1238,Mountain Brew 837,Cafe,Food,Kalimpong,Mall Road,142 INR,3.2,Cafe in Kalimpong with great experience
1239,Tea Garden Resort 897,Resort,Stay,Gangtok,MG Marg,4649 INR,3.3,Resort in Gangtok with great experience
1240,Hill Stay Inn 507,Hotel,Stay,Darjeeling,Tea Garden,2618 INR,4.7,Hotel in Darjeeling with great experience
1241,Hill Stay Inn 948,Hotel,Stay,Darjeeling,Mall Road,3025 INR,4.3,Hotel in Darjeeling with great experience
1242,Himalayan Wear 31,Clothing Store,Shopping,Gangtok,MG Marg,,4.2,Clothing Store in Gangtok with great experience
1243,Valley View Stay 576,Homestay,Stay,Darjeeling,Tea Garden,5882 INR,3.6,Homestay in Darjeeling with great experience
1244,Mountain Nest 758,Homestay,Stay,Gangtok,MG Marg,6794 INR,3.2,Homestay in Gangtok with great experience
1245,Peak Residency 723,Hotel,Stay,Mirik,Hill View,2691 INR,4.5,Hotel in Mirik with great experience
1246,Safari 590,Activity,Experience,Dooars,Hill View,,3.1,Activity in Dooars with great experience
1247,Skyline Hotel 304,Hotel,Stay,Gangtok,City Center,3701 INR,3.1,Hotel in Gangtok with great experience
1248,Peak Residency 160,Hotel,Stay,Darjeeling,Forest Area,1969 INR,4.5,Hotel in Darjeeling with great experience
1249,Boating 399,Activity,Experience,Mirik,Mall Road,,3.8,Activity in Mirik with great experience
1250,Cloud9 Cafe 854,Cafe,Food,Dooars,Forest Area,809 INR,3.5,Cafe in Dooars with great experience
1251,Boating 189,Activity,Experience,Mirik,Hill View,,3.0,Activity in Mirik with great experience
1252,Food Valley 967,Restaurant,Food,Darjeeling,Mall Road,346 INR,5.0,Restaurant in Darjeeling with great experience
1253,Monastery 448,Attraction,Experience,Kurseong,Mall Road,,4.5,Attraction in Kurseong with great experience
1254,Mountain Nest 434,Homestay,Stay,Darjeeling,Mall Road,5539 INR,3.7,Homestay in Darjeeling with great experience
1255,Monastery 249,Attraction,Experience,Dooars,Forest Area,,3.4,Attraction in Dooars with great experience
1256,Mountain Nest 625,Homestay,Stay,Gangtok,MG Marg,7187 INR,3.1,Homestay in Gangtok with great experience
1257,Safari 849,Activity,Experience,Dooars,Forest Area,,4.2,Activity in Dooars with great experience
1258,Food Valley 826,Restaurant,Food,Lava,City Center,263 INR,3.0,Restaurant in Lava with great experience
1259,Forest Resort 581,Resort,Stay,Kalimpong,Forest Area,4736 INR,3.2,Resort in Kalimpong with great experience
1260,Himalayan Wear 963,Clothing Store,Shopping,Gangtok,MG Marg,,4.7,Clothing Store in Gangtok with great experience
1261,Sunrise Coffee 259,Cafe,Food,Gangtok,MG Marg,466 INR,4.9,Cafe in Gangtok with great experience
1262,Forest Resort 585,Resort,Stay,Kurseong,Forest Area,2814 INR,4.4,Resort in Kurseong with great experience
1263,Hill Stay Inn 944,Hotel,Stay,Gangtok,MG Marg,5154 INR,3.3,Hotel in Gangtok with great experience
1264,Himalayan Dine 469,Restaurant,Food,Gangtok,Mall Road,781 INR,3.4,Restaurant in Gangtok with great experience
1265,Himalayan Wear 32,Clothing Store,Shopping,Kalimpong,Hill View,,4.4,Clothing Store in Kalimpong with great experience
1266,Mountain Style 803,Clothing Store,Shopping,Darjeeling,Mall Road,,3.4,Clothing Store in Darjeeling with great experience
1267,Hilltop Cafe 245,Cafe,Food,Gangtok,Mall Road,164 INR,3.9,Cafe in Gangtok with great experience
1268,Spice Route 356,Restaurant,Food,Dooars,Tea Garden,932 INR,4.6,Restaurant in Dooars with great experience
1269,Cafe Aroma 171,Cafe,Food,Kalimpong,Hill View,930 INR,4.8,Cafe in Kalimpong with great experience
1270,Winter Hub 46,Clothing Store,Shopping,Gangtok,MG Marg,,3.7,Clothing Store in Gangtok with great experience
1271,Pahari Homestay 110,Homestay,Stay,Kalimpong,Hill View,4098 INR,3.8,Homestay in Kalimpong with great experience
1272,Forest Resort 840,Resort,Stay,Darjeeling,Mall Road,1925 INR,3.5,Resort in Darjeeling with great experience
1273,Monastery 163,Attraction,Experience,Dooars,Tea Garden,,3.4,Attraction in Dooars with great experience
1274,Waterfall 294,Attraction,Experience,Gangtok,MG Marg,,3.9,Attraction in Gangtok with great experience
1275,Forest Resort 388,Resort,Stay,Lava,Forest Area,3974 INR,3.0,Resort in Lava with great experience
1276,Luxury Hills Resort 999,Resort,Stay,Kalimpong,Forest Area,4626 INR,4.2,Resort in Kalimpong with great experience
1277,Winter Hub 135,Clothing Store,Shopping,Darjeeling,Mall Road,,4.2,Clothing Store in Darjeeling with great experience
1278,Waterfall 406,Attraction,Experience,Gangtok,MG Marg,,3.3,Attraction in Gangtok with great experience
1279,Himalayan Wear 759,Clothing Store,Shopping,Darjeeling,Mall Road,,3.9,Clothing Store in Darjeeling with great experience
1280,Mountain Nest 148,Homestay,Stay,Mirik,Tea Garden,7526 INR,3.3,Homestay in Mirik with great experience
